iter	Logloss
0	0.6882342285
1	0.6831148086
2	0.6782288296
3	0.6736547423
4	0.6691663361
5	0.6646267555
6	0.6590006367
7	0.654779673
8	0.6503836934
9	0.6462441511
10	0.6416375195
11	0.6371465826
12	0.631829868
13	0.6277734762
14	0.6235750459
15	0.6194561992
16	0.6162126738
17	0.6121879466
18	0.6081986953
19	0.604256754
20	0.6004834781
21	0.5969706894
22	0.5939764888
23	0.5899283865
24	0.5854167001
25	0.5821183564
26	0.5782383678
27	0.5740937786
28	0.5705591511
29	0.5666844295
30	0.5624003169
31	0.5593323455
32	0.5562430894
33	0.553414965
34	0.5501018041
35	0.5471100033
36	0.5441965588
37	0.5410049558
38	0.5386360778
39	0.5358541314
40	0.5326504958
41	0.5295097355
42	0.5265680709
43	0.5228843894
44	0.520039354
45	0.5173205404
46	0.5145300537
47	0.5118533765
48	0.5088895192
49	0.5065461043
50	0.5036719945
51	0.5008817584
52	0.4977707004
53	0.4949262635
54	0.4923195027
55	0.4893543981
56	0.4862395964
57	0.4830111329
58	0.4806612561
59	0.4776150164
60	0.4751727019
61	0.4726060511
62	0.4703390932
63	0.4679922454
64	0.4658683889
65	0.4634972642
66	0.4610554814
67	0.4585681811
68	0.4558044741
69	0.4533598929
70	0.451017344
71	0.4487098011
72	0.4462062814
73	0.4445129777
74	0.4420497729
75	0.4402396463
76	0.4379284575
77	0.4360971005
78	0.4342793504
79	0.4322092891
80	0.4299264218
81	0.428341739
82	0.4264101186
83	0.4245252347
84	0.4227364837
85	0.4210551807
86	0.4186981109
87	0.4166982326
88	0.4151671231
89	0.4128277888
90	0.4109037747
91	0.4093767305
92	0.4075347532
93	0.4054120865
94	0.4032998076
95	0.4015125381
96	0.3992290934
97	0.3978215413
98	0.3959746683
99	0.3942101146
100	0.3927411334
101	0.3908588845
102	0.3890256158
103	0.3871261211
104	0.3850910752
105	0.3834253
106	0.3812462867
107	0.3797559813
108	0.3780503749
109	0.3768751871
110	0.3753834835
111	0.3741643421
112	0.3729152423
113	0.3712607302
114	0.3696005121
115	0.3685827117
116	0.3670893731
117	0.365807445
118	0.3646677828
119	0.3633465926
120	0.3617570685
121	0.3605516294
122	0.3590553204
123	0.357124052
124	0.3559594267
125	0.3545792924
