iter	Passed	Remaining
0	4	4309
1	8	4204
2	12	4136
3	15	3802
4	17	3576
5	21	3513
6	23	3391
7	27	3368
8	30	3396
9	33	3304
10	35	3219
11	38	3134
12	40	3077
13	42	3027
14	45	3001
15	48	2955
16	50	2909
17	52	2863
18	54	2819
19	56	2780
20	59	2752
21	61	2720
22	63	2690
23	65	2662
24	67	2637
25	69	2612
26	71	2589
27	74	2583
28	77	2594
29	80	2612
30	83	2602
31	85	2593
32	88	2582
33	90	2570
34	93	2570
35	95	2562
36	98	2557
37	100	2548
38	102	2537
39	105	2528
40	107	2519
41	110	2511
42	112	2502
43	114	2497
44	117	2492
45	120	2489
46	122	2485
47	125	2487
48	128	2491
49	131	2490
50	133	2484
51	135	2478
52	138	2475
53	141	2472
54	143	2467
55	145	2460
56	148	2459
57	151	2452
58	153	2448
59	156	2448
60	158	2444
61	161	2439
62	164	2440
63	166	2438
64	169	2436
65	172	2437
66	175	2439
67	177	2438
68	180	2436
69	183	2435
70	186	2435
71	189	2437
72	192	2438
73	194	2437
74	197	2438
75	200	2436
76	203	2438
77	206	2439
78	209	2440
79	212	2442
80	215	2441
81	218	2442
82	221	2443
83	224	2445
84	227	2448
85	230	2452
86	233	2453
87	237	2463
88	241	2467
89	244	2468
90	247	2471
91	250	2471
92	253	2473
93	256	2474
94	260	2477
95	263	2478
96	266	2479
97	269	2482
98	272	2484
99	276	2485
100	279	2487
101	282	2486
102	285	2486
103	288	2487
104	291	2488
105	294	2487
106	297	2486
107	300	2484
108	303	2483
109	306	2481
110	309	2479
111	312	2477
112	315	2475
113	318	2475
114	321	2474
115	324	2473
116	327	2470
117	330	2470
118	333	2469
119	336	2468
120	339	2465
121	342	2463
122	345	2462
123	348	2462
124	351	2461
125	354	2460
126	357	2459
127	360	2458
128	363	2456
129	367	2456
130	370	2455
131	373	2455
132	376	2453
133	379	2453
134	383	2454
135	387	2458
136	390	2458
137	393	2459
138	397	2460
139	400	2459
140	403	2458
141	406	2458
142	409	2456
143	413	2456
144	416	2458
145	420	2458
146	423	2457
147	426	2456
148	429	2454
149	433	2454
150	436	2452
151	439	2451
152	442	2448
153	445	2446
154	448	2443
155	451	2440
156	453	2437
157	456	2435
158	459	2432
159	462	2430
160	465	2427
161	468	2425
162	471	2422
163	474	2420
164	477	2417
165	480	2414
166	483	2412
167	486	2409
168	489	2407
169	492	2404
170	495	2402
171	498	2400
172	501	2398
173	504	2395
174	507	2392
175	510	2391
176	513	2389
177	517	2389
178	520	2388
179	523	2386
180	527	2386
181	530	2385
182	533	2383
183	536	2381
184	540	2379
185	543	2376
186	546	2375
187	550	2377
188	553	2377
189	557	2375
190	560	2374
191	564	2374
192	567	2372
193	570	2369
194	573	2366
195	576	2364
196	579	2362
197	582	2359
198	585	2357
199	588	2353
200	591	2350
201	594	2349
202	597	2347
203	601	2345
204	604	2342
205	607	2341
206	610	2340
207	614	2338
208	617	2337
209	621	2336
210	624	2335
211	627	2332
212	630	2330
213	633	2328
214	637	2327
215	641	2328
216	644	2326
217	648	2325
218	651	2323
219	655	2322
220	658	2322
221	661	2319
222	664	2316
223	668	2315
224	671	2313
225	675	2311
226	678	2309
227	681	2307
228	684	2306
229	688	2304
230	692	2305
231	695	2303
232	698	2300
233	701	2297
234	705	2296
235	708	2294
236	712	2292
237	715	2291
238	719	2291
239	723	2291
240	727	2290
241	730	2288
242	734	2287
243	738	2287
244	741	2286
245	745	2283
246	748	2281
247	751	2278
248	755	2277
249	758	2275
250	761	2271
251	764	2269
252	767	2266
253	772	2267
254	775	2265
255	778	2262
256	781	2260
257	785	2258
258	798	2285
259	806	2296
260	812	2301
261	818	2305
262	823	2307
263	828	2309
264	834	2315
265	841	2322
266	846	2324
267	852	2328
268	857	2329
269	861	2329
270	865	2329
271	870	2330
272	876	2335
273	883	2340
274	891	2349
275	896	2352
276	902	2354
277	907	2357
278	912	2358
279	917	2359
280	922	2360
281	928	2362
282	933	2364
283	938	2365
284	943	2367
285	949	2369
286	954	2371
287	959	2371
288	964	2374
289	970	2376
290	975	2377
291	981	2378
292	984	2376
293	988	2373
294	991	2370
295	995	2368
296	999	2365
297	1002	2362
298	1006	2359
299	1009	2356
300	1014	2355
301	1018	2353
302	1024	2355
303	1029	2357
304	1034	2356
305	1039	2356
306	1045	2358
307	1049	2358
308	1054	2357
309	1058	2356
310	1063	2355
311	1068	2355
312	1072	2353
313	1076	2351
314	1080	2348
315	1083	2345
316	1086	2341
317	1091	2340
318	1094	2336
319	1097	2333
320	1101	2328
321	1104	2326
322	1108	2323
323	1111	2318
324	1115	2315
325	1118	2311
326	1121	2307
327	1124	2304
328	1127	2299
329	1130	2295
330	1134	2292
331	1137	2288
332	1140	2285
333	1144	2281
334	1147	2277
335	1150	2274
336	1154	2271
337	1158	2268
338	1161	2264
339	1164	2260
340	1167	2257
