Feature,Score
meanskewamp,0.14123575375851855
kurtavg,0.10250217308437519
corrmean,0.05972872007713839
ssd,0.0576912282637091
avgspectkurt,0.04445115775862219
BCI,0.044196881077633435
thetaalphamean,0.04025632003654886
BSAR,0.038221479619012254
overallskewamp,0.031740677265145324
deltastdrat,0.0242251576636233
d0MaxAmp,0.01878794020020598
xcorrstd,0.01828567582656049
geomeanamp,0.015589508934470423
d0MaxMaxFourAmp,0.01520630180001819
SIQ,0.014092259836252901
stdskewamp,0.013970731974403542
meanlogentropy,0.012925200560275818
deltaalphamin,0.01288095749414298
SignalSD,0.012098150160371862
deltaalphamean,0.011661460446448158
pctpeakpoint,0.01157499209060477
betaminrat,0.01146450848050288
d1MeanMaxFourAmp,0.011427020915617364
alphameanrat,0.0113957843809345
sdspectkurt,0.011263577308769111
avgspectent,0.011254913783796689
sdspectent,0.010998619733968868
d0VarMeanAmp,0.010714000325834486
deltakurtosis,0.010339930370193758
thetakurtosis,0.010022941611507815
thetaalphamin,0.009627684100049046
alphastdrat,0.009434713084673038
linelengthmean,0.009190844559610641
thetastdrat,0.008633389830856346
d1MaxMaxFourAmp,0.008531264458912207
xcorrmean,0.008492046409055614
d0MeanVarAmp,0.007682094701680195
betameanrat,0.007566650972018157
d0VarMaxFourAmp,0.0075515239679162195
d1VarMeanAmp,0.007106795877524725
deltaalphapct,0.00699698375050158
alphakurtosis,0.006587036029872638
betakurtosis,0.006568952709150991
alphaminrat,0.006491012715710402
deltaminrat,0.006172802343415119
lv_l10,0.005818665446993815
betastdrat,0.0056802913016347776
thetaminrat,0.005261465293883937
deltathetamin,0.005007604481920263
d1VarMaxFourAmp,0.004538853821870818
betapctrat,0.0038993051192648676
thetameanrat,0.0038411696182260417
deltameanrat,0.0036189542488275586
deltathetamean,0.0033615680709628715
d0VarVarAmp,0.002134302246261035
