hour,accuracy,auc
16,79.9193549156189,52.70002782344818
17,79.71590995788574,62.072463631629944
18,80.10695219039917,51.0822594165802
19,80.69841384887695,60.51937758922577
20,79.68468427658081,60.800321102142334
21,80.29871940612793,67.24476933479309
22,80.0000011920929,63.46515774726868
23,81.22807145118713,68.90440106391907
24,81.75438642501831,63.134868144989014
25,81.82186365127563,62.57692217826843
26,82.19230890274048,74.08663272857666
27,82.05128312110901,60.64270257949829
28,82.23076939582825,62.22871541976929
29,82.4999988079071,68.20457100868225
30,82.58536577224731,68.29849243164062
31,82.5000011920929,69.86303925514221
32,82.5,66.77916049957275
33,82.5,72.23374605178833
34,82.5,72.82563209533691
35,82.5,69.83683705329895
36,82.3974359035492,72.24146008491516
37,81.92307829856873,71.36756777763367
38,81.91025614738464,75.09371995925903
39,82.02439069747925,76.68939590454102
40,82.10975646972656,72.95844078063965
41,81.86585307121277,65.97567081451416
42,81.84146285057068,62.319825887680054
43,80.9756088256836,72.98286080360413
44,80.82462191581726,63.20987820625305
45,80.62717795372009,66.39990091323853
46,80.25551795959473,64.2524003982544
47,80.0,59.31670546531677
48,80.47618985176086,52.902209758758545
49,80.6271767616272,58.601154088974
50,80.65040469169617,53.70101571083069
51,81.08013868331909,55.74588477611542
52,80.80487847328186,60.47616481781006
53,81.18292689323425,66.7097806930542
54,79.9999988079071,61.49071991443634
55,80.99999904632568,62.765586376190186
56,80.70512890815735,66.72767877578735
57,80.51282167434692,64.03127074241638
58,80.41835427284241,61.34401798248291
59,80.93117475509644,63.12412977218628
60,80.85020303726196,64.29368257522583
61,80.7422411441803,63.564696311950684
62,80.78272700309753,58.165090680122375
63,80.86771130561829,56.4835786819458
64,80.66856265068054,63.99150252342224
65,80.97597599029541,70.86074471473694
66,80.99099040031433,70.47925233840942
67,81.84684634208679,62.5479257106781
mean,81.19534029410435,64.5829617518645
